file_name,Transcription
EX_1.wav,i've got a good deal of money to be got a meager so i got to go out and have some kids we all got to go out and have some kids a little breaks the little bit maniac let's pump the brakes a little taxi driver but it's true enough
EX_2.wav,he cried quickly and went back to the ground and went back to the ground and went to the ground and i got this chance for you all called the nigger boy you got a punch then cracked liquors next three times from left to right one thing that's the matter with you cried the fellow he cried quickly
EX_3.wav,what is it the matter what ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah what is it that is a matter
EX_4.wav,up and down the wally why auntyena was all the vittio shows sam confronting the girl who stalked her boy friend on line sam gets angry and threatens to take action if she approaches her boy friend again creating a tense moment
EX_5.wav,it was a great deal to be done for the returned the crazy carron blocks that isle on an aeroplane and then screams as if in attack they all agreed they all agreed they all agreed
EX_6.wav,what is the matter with you i'm afraid it's all right said the other we'll go when the major kills a baby no one calls it a radical cause it's obvious that all of them are dangerous animals the handling has been on the wall but i'm sure he doesn't think he't think it's a good thing to do it he said with a piece of food he said with a piece of food he's a piece of food he said but he's a piece of food he's a piece of food he said he said he's a piece of food he's a pieces a piece he's a piece he's a piece he's a piece of it was a piece he's a piece of food he's a piece he's a piece he's a piece he's a piece he's a piece he's a piece he's a
EX_7.wav,and i think it was a matter because all the same of others that are with their falcon little they're little pisands and of course it never fails there's a white mother with a mulatto kid which is a white mother with a mulatto kid which in a way is funny and that perfectly represents the decay of society it's the first point of me it's the fact is perfectly enough
EX_8.wav,he was a good man and a good man who was a good man and was a good man of twenty seven and if i didn't take this he says it would be necessary for me to give you something to my gambolges the meat which made him a good deal of money he was a good man
EX_9.wav,was a man whose name was a man's name and a man's a man's a man's a fool another day i'm just waiting for him just to be in my boat and just as we came to a man who was a man who was a man whose name was a man was a man whose man was a man whose man was a man was a man whose and who was a man was a man was a man with a man's and who was a man with a man with a man's
EX_10.wav,one hundred seventy one hundred seventy five hundred fifty five hundred fifty eight o eight a man a man a man a man a man a man a man a man a man a man a man a man a commodist a man a commody aromagne agammonymmony one hundred seventy one hundred seventy five hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy seven hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy one hundred seventy seven hundred sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent seven seven hundred sevent sevent sevent sevent sevent sevent sevent sevent sevent seven seven seven seven seven seven seven seven seven seven sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent sevent
EX_11.wav,and at the gate door i could not go at the top of my head now i have turned round at it at any time you are a gun down girl who grabbed him up again up a man with a leather bag and in that habit of engaging a number with the ready aquaverts and ground the young man was at a bad time in the best i had to pay him in the best i had to pay him in the best i had to pay him in the right hand and to pay him in the best i can the best i can the best i can the best i can to buy a bad man to buy a bad man to get a bad man to get a bad man to get a bad man to get a bad man who get a bad man who get a bad man to get a bad man to get a bad man to get a bad man to get a bad man to get a bad man and i can do the best i can do the best i can do
EX_12.wav,it's the finest thing i've always been saying it that's why you've been annoying everywhere this is like i'll hear if you don't likely because i send it out of here i'm starting to see where a lot of people are annoyed by the dishonesty i remember when the beale and thing was going on and in black he will go out
EX_13.wav,i would like to announce straight i am against homer phobia and extremely supported of the gaze every homer forwarded guide i come across is going to be getting a taste of my knuckles and what's happened to me in fact it means an unfortunate and it doesn't mean to admit it to because i't a man'll because it's a man to get a man to get a man to get a man to eat a man to eat a man to a man to eat a man to eat a man to eat a man to eat a man to eat a man to eat and i's and i never to eat a man to eat and i never to eat a man to eat a man to eat a man to eat and i never to eat and i ever again and i ever again and i never to eat and i ever against everything i ever again and i ever again and i ever gets
EX_14.wav,i'm not supposing to leave her yard let's you do it let me in that way stick it out again get away from it
EX_15.wav,that is not that that that that that is not all all right not all no no no no no no no no no no no no no no no no no no no not that is not that that that it is not that that that it is not that that that that that that it is not that that that that that it is not that that that that that that that it is not that that that that that that that that that that that that that it is not that that that that that that that that that that that that that that that that that it is not that that that that that that that that that that that that that that that that that that that that that that that that that that that that it is not that that that that that that that that that that that it is not that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that that
EX_16.wav,the man who had been a good man and a good man and a better man a better man a better man than a larger dormitian
EX_17.wav,he asked with a glance at the man's face he looked at me with a smile and a sharp look a cause their weak k k k k k k k k k k k k k k k k k k k k k k k k k k k k k k k k k
EX_18.wav,a man who has a man who has a right to strike a man's head was what looked like a nigger you would have better have less a command from us that moment a command of him a thousand francs a half a half
EX_19.wav,i'm going to take a good look at you and get a pull at the point we're we'll we'll we we we we'll take a cape we are agents for whites of premises the blood's and the blame only take a cape we are an agent for whites we do it the blood's in a game of nickels a good i's a good i've got a good a good a good and a good a good a good a good a good a good a good a good a good a good deal of good a good a good a good a good a good a good a good deal of tennicase and a good a good deal of a good deal of a good deal and a good a good a good a good deal and a good deal and a good deal and a good deal and a good deal and a good deal and a good deal and a good deal and a good a good a
EX_20.wav,oldest sister of hera lindsey jabber whatever your name is saying a man this is on your back when you are out of the drawing room do i want to ask him a mother out to go to this quagape you are a jaffrail the whole
EX_21.wav,i'll take you up and see what is the matter with you he added happy holidays to my noble white brethren here's a song about jews his wheat knows it'll make you look like two ten foot and some keep your shekels can do all the all over the second time you'll get a piece of bread and a piece of bread and a piece of it can't you get a piece of bread and a piece of bread to take you will take a piece of bread to a piece of bread to a piece of bread to take it in a piece of it to take you will take a piece of it to the piece of it to the piece of bread to the piece of it to take it to take you will take a piece of it to a piece of it to the lad to take it he add to a piece of it to the lad to take you will take it to the piece of it to the piece of it it it it
EX_22.wav,and a man and a man and a man and a man and a man a man and a man and agatha and agatha and agatha and agatha and agra on the other hand agatha and agatha and agatha
EX_23.wav,in the land and in the united states and in the land of the united states beyond and beyond that of the inhabitants we ought to have been bound back dead and we ought to be abandoned
EX_24.wav,i'm afraid i'm afraid i'm a man
EX_25.wav,think it's always great when you are third world savages can say homelander in perfect american oh yes the advantage aunt if i'm astonishing upon the lean joint of the airs how but if i say get the fox out of my country and stay in yours i will lays her you into buckets thick pieces ship i'll remember a man
EX_26.wav,the couple we know that we get like your letter and the job we won't go said oliver i'll go in we'll offer you a letter i should lie up in a wreck of steaming way along the fence
EX_27.wav,a man who has never heard a man who is a little boy ah what not that cried i i am dying at a quarter of a quarter of a quarter of a quarter of a quarter of a mile and a hundred yards ahead of his head he was a man who had been taken from his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who was at his head and who at his head and who was at his head and who was at a very very very very very very very very very very
EX_28.wav,i don't want to get it for a minute or so i don't have any more that's what i don't have but i don't know what i don't know about it right now give it some
EX_29.wav,he looked at it now the light oh bonacieux why really how am i the machinery
EX_30.wav,liberals white as shades of you sing that or calling for a white genus side because they we need to get rid of white people we need to get rid of what's mostly straight white christian conservative males pretty much not though white women they'd want to go after them by this dulls in general dishes we'll go after they'll straight and are all white genesider when they're called in or called in or all white genesing for all white ginter what they's in and are all white men and are all white and are all white men and are all white genne that they's saying that are all white men and are all white men and are all white men and are all white men and are called for all white men and are all white men and are called for all white men and are all white men and are called for all white and are all white men and are called
EX_31.wav,room no no and that's rightly my good uncle yes i'll make you a moment and i'll just like a brother's and as nice as mine for you nets so success i don't like it
EX_32.wav,the head of the head and head of the head and head of the head of the head he is killed in the head of the heavenly and his head is taken within the head of the head of the head and the head of the head and the head of the head and the head of the head the head is dead man who has been taken to the head of the head of the head and his head and his head the head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head his head his head his head his head and his head and his head and his head and his head and his head he turned his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head and his head he
EX_33.wav,i've been trying to get rid of him i'm going to get him back in my pockets and i've been trying to get him back and try him to get him back to the bank and get him back to the right and i've been trying to get him back to the side of the bank and then i've got him back to the side of the street and i's
EX_34.wav,let's go and throw that in the air again we'll take up some coal in the air ha ha ha don't you dry on there ha first we start off making watermelon chicken we cut out the watermelon put it in some bread crumbs and let them bit chisels i should care to use to day is hennesy great coolade foot that the trouble and he no we can't forget the milds after what i's on boarding up i's on my chicken what that you gets on my chicken let it's a good to cut that you get some corn bread it's and it's the bread it's a good when it's all ready cut some bread it's and it's all ready cut some bread and it's and it's all ready cut some bread and it's all ready cut to get some bread and it's all ready cut to get your bread
EX_35.wav,i am afraid i am afraid it will be a bad thing i am not afraid i am a young man now say it and you are ready now i am a man i am a giant here you bet i am a man i am a man and i am not a man
EX_36.wav,the same thing that he can't stand in the middle of the streets and we can't break him back with him we'll hem hemmmymymymmymmmymymymthah that's my impression of yourself a half half half half half half half half half a half cent he's got the advantages of the lasting and i've got to take it to pay him back to pay him back to the amount to the amount of his pieces the length of the length of the length of the length of the length of the length of the length of the length of the length of the length of the length of the length of the length of the length and then he was takenthy and then he was to paying of the length of the length of the length of the length and then he was to paying of the length of the length of the length and then he
EX_37.wav,that is what it means that i am a fellow ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah ah
EX_38.wav,a man a man and a man a man a man a man a third of him i think they've got no more than that of a man
EX_39.wav,a man who has the right to do with a man who has no right to do with the right hand but the right hand and the right hand and the right right right right ho ho ho ho ho ho ho ho d'eye
